EA_TUNNUS;LAHIN_TSA;NIMI_FI;EANIMI_FI;TIE;TIEOSA;ETAISYYS;X;Y;MUNICIPALITY
C0158403;1078;Tie 50 Inkilä;Tie 51 Hankoon;50;1;106;6669334;363076;Espoo
C0158404;1078;Tie 50 Inkilä;Tie 51 Helsinkiin;50;1;106;6669334;363076;Espoo
C0158409;1078;Tie 50 Inkilä;Kehä III, tienpinta;50;1;106;6669334;363076;Espoo
C0158700;1034;Hakamäentie;Hakamäentie, masto;100;1;200;6676429;383552;Helsinki
C0159000;1034;Hakamäentie;Hakamäentie, Ilmala;100;1;715;6676449;384038;Helsinki
C0160000;1096;Tie 101 Säterinsolmu;;101;3;1;6676733;378962;Espoo
C0160100;1096;Tie 101 Perkkaa;;101;3;2;6677177;378991;Espoo
C0160200;1096;Tie 101 Vermo;;101;3;3;6677414;379001;Espoo
C0160300;1096;Tie 101 Turuntie;;101;3;4;6677888;379041;Espoo
C0160500;1096;Tie 101 Mestarintie I1;;101;4;6;6678087;379070;Espoo
C0160900;1096;Tie 101 Mestarintie I5;;101;4;10;6678266;379208;Espoo
C0161000;1096;Tie 101 Mestarintie L5;;101;4;11;6678355;379242;Espoo
C0161400;1096;Tie 101 Mestarintie L1;;101;4;15;6678488;379380;Espoo
C0161600;1096;Tie 101 Vallikallio;;101;4;17;6678272;379133;Espoo
C0161700;1096;Tie 101 LRamppi;;101;4;18;6678554;379432;Espoo
C0161800;1096;Tie 101 Lintuvaara;;101;4;19;6678795;379594;Espoo
C0161900;1096;Tie 101 Mäkkylä;;101;4;20;6678896;379915;Espoo
C0162000;1096;Tie 101 Reimarla;;101;4;21;6678960;380155;Espoo
C0162100;1096;Tie 101 Konala;;101;4;22;6679056;380593;Helsinki
C0162201;1053;Tie 25 Raasepori;Karjaalle;25;9;950;6654792;301141;Raasepori
C0162202;1053;Tie 25 Raasepori;Hankoon;25;9;950;6654792;301141;Raasepori
C0162209;1053;Tie 25 Raasepori;Tienpinta;25;9;950;6654792;301141;Raasepori
C0162300;1001;Tie 1 Lommila;Helsinkiin;1;5;5820;6677713;370412;Espoo
C0162401;1017;Tie 25 Haimoo;Hyvinkäälle;25;27;20;6703784;363203;Vihti
C0162402;1017;Tie 25 Haimoo;Hankoon;25;27;20;6703784;363203;Vihti
C0162409;1017;Tie 25 Haimoo;Tienpinta;25;27;20;6703784;363203;Vihti
C0162501;1007;Tie 2 Salkola;Poriin;2;18;1565;6725855;331224;Lohja
C0162502;1007;Tie 2 Salkola;Helsinkiin;2;18;1565;6725855;331224;Lohja
